Title,Body,Labels
"Project Documentation & Requirement Analysis","Create README, user stories, feature list, architecture overview and setup guide.","documentation"
"Repository Setup & Git Workflow","Initialize repository, gitignore, issue templates and PR template.","setup"
"Design Database & API Specification","Design User, Vlog and Like entities. Document API contracts.","backend"
"Authentication Module","Implement registration, login, logout and route protection.","feature"
"Create Vlog Feature","Allow authenticated users to create vlogs.","feature"
"View Vlogs Feature","Display all vlogs and single vlog details.","feature"
"Edit Vlog Feature","Allow owners to update existing vlogs.","feature"
"Delete Vlog Feature","Allow owners to delete existing vlogs.","feature"
"Like System","Implement like and unlike functionality.","feature"
"View Count Tracking","Track and display vlog view counts.","feature"
"User Profile Page","Display profile details and user-created vlogs.","feature"
"UI/UX Improvements","Responsive design, loading states, empty states and error handling.","enhancement"
"Application Testing","Perform end-to-end testing for all implemented features.","testing"
"Deployment Configuration","Configure deployment and production environment.","devops"
"Final Documentation & Screenshots","Update README, add screenshots and deployment instructions.","documentation"
